epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,266.562,1.00219,0.57465,0.99289,0.53339,0.47594,0.47755,0.1379,2.69141,1.49442,1.88117,0.000614,0.000614,0.000614
72,270.237,1.1119,0.59122,1.00974,0.52213,0.4385,0.42501,0.12476,2.77507,1.50872,1.94291,0.0005942,0.0005942,0.0005942
73,274.083,1.0517,0.55504,0.96433,0.58455,0.37433,0.40911,0.11989,2.87174,1.60351,2.03116,0.0005744,0.0005744,0.0005744
74,277.949,1.02419,0.57546,1.02785,0.53154,0.40642,0.41765,0.12258,2.83768,1.65867,1.96009,0.0005546,0.0005546,0.0005546
75,281.736,1.09328,0.58373,1.0172,0.54665,0.43316,0.44598,0.13026,2.81648,1.69365,1.92381,0.0005348,0.0005348,0.0005348
76,285.53,0.97065,0.52826,0.99599,0.58114,0.4492,0.48051,0.13556,2.72838,1.69999,1.85676,0.000515,0.000515,0.000515
77,289.494,1.05837,0.55626,1.02226,0.65839,0.50503,0.54813,0.16061,2.64534,1.58254,1.80668,0.0004952,0.0004952,0.0004952
78,293.621,1.00676,0.5227,0.97777,0.63018,0.49733,0.54505,0.16828,2.59397,1.52183,1.79492,0.0004754,0.0004754,0.0004754
79,297.892,0.95127,0.56414,0.98183,0.66757,0.49733,0.55037,0.17849,2.5448,1.47221,1.83468,0.0004556,0.0004556,0.0004556
80,302.432,1.03968,0.54658,0.98755,0.57901,0.5508,0.55356,0.18869,2.47319,1.45049,1.78461,0.0004358,0.0004358,0.0004358
81,306.254,0.97216,0.5252,0.95598,0.57759,0.43316,0.46672,0.15025,2.56716,1.61724,1.84925,0.000416,0.000416,0.000416
82,309.894,1.02031,0.53156,0.98629,0.57218,0.43316,0.45354,0.14602,2.6302,1.68867,1.89718,0.0003962,0.0003962,0.0003962
83,313.262,0.91768,0.50715,0.96375,0.58683,0.41711,0.4622,0.15104,2.59559,1.69801,1.87949,0.0003764,0.0003764,0.0003764
84,316.794,1.02817,0.51109,0.96292,0.56925,0.44385,0.46773,0.15548,2.51588,1.70726,1.84563,0.0003566,0.0003566,0.0003566
85,320.243,0.96151,0.50258,0.98261,0.52857,0.39572,0.44034,0.144,2.57855,1.87524,1.867,0.0003368,0.0003368,0.0003368
86,323.456,0.9581,0.53158,0.97365,0.50309,0.36364,0.39654,0.12467,2.6899,1.98908,1.91926,0.000317,0.000317,0.000317
87,326.999,0.99279,0.53492,0.9448,0.50357,0.3262,0.36232,0.11246,2.74909,2.06118,1.94265,0.0002972,0.0002972,0.0002972
88,330.711,0.9879,0.51522,1.00437,0.43345,0.37433,0.37684,0.11197,2.74521,2.04737,1.93508,0.0002774,0.0002774,0.0002774
89,334.118,0.94075,0.54646,0.94638,0.44497,0.40107,0.4059,0.12843,2.6849,1.9733,1.90679,0.0002576,0.0002576,0.0002576
90,337.424,0.90717,0.52544,0.98637,0.53945,0.37968,0.4415,0.13651,2.68373,1.91311,1.91455,0.0002378,0.0002378,0.0002378
91,380.246,1.15508,0.56423,1.03494,0.51608,0.39037,0.44564,0.144,2.65583,1.87787,1.90753,0.000218,0.000218,0.000218
92,384.486,0.90381,0.50041,0.94394,0.63456,0.34358,0.45715,0.14448,2.65115,1.85207,1.91032,0.0001982,0.0001982,0.0001982
93,389.224,0.86876,0.47906,0.97537,0.50728,0.41176,0.46013,0.14067,2.69225,1.92279,1.95296,0.0001784,0.0001784,0.0001784
94,393.355,0.9692,0.51279,1.08604,0.58594,0.35294,0.43657,0.13477,2.71931,1.99204,1.97669,0.0001586,0.0001586,0.0001586
95,397.512,0.86575,0.44842,0.92961,0.56257,0.34225,0.42366,0.12881,2.74248,2.04397,1.99042,0.0001388,0.0001388,0.0001388
96,401.544,0.86341,0.46039,0.94961,0.53966,0.36361,0.41571,0.12432,2.76913,2.09423,2.01305,0.000119,0.000119,0.000119
97,405.646,0.9177,0.49072,0.99722,0.52362,0.3369,0.39739,0.12004,2.80709,2.08764,2.03934,9.92e-05,9.92e-05,9.92e-05
98,409.641,0.91529,0.45987,0.96251,0.53511,0.34225,0.40565,0.12348,2.8047,2.06017,2.03307,7.94e-05,7.94e-05,7.94e-05
99,413.928,0.85805,0.46381,0.93016,0.55029,0.35294,0.41044,0.1258,2.78955,2.01653,2.03035,5.96e-05,5.96e-05,5.96e-05
100,418.443,0.93606,0.46706,0.92769,0.55221,0.36898,0.41657,0.1327,2.77299,1.98349,2.02305,3.98e-05,3.98e-05,3.98e-05
